time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,solve_time,metadata
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22322205,1100.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025000000000000005,0.0,0.0,0.0,0.0025000000000000005,0.0,0.0,0.0,22322205,0.01
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005000000000000001,0.0,0.0,0.0,0.005000000000000001,0.0,0.0,0.0,22322205,"[[20]
 [30]
 [30]
 [30]]"
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075000000000000015,0.0,0.0,0.0,0.0075000000000000015,0.0,0.0,0.0,22322205,0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,22322205,0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,22322205,0
0.07,0.00023838402251444423,0.0,5.874277107491359e-09,0.0,0.0018525256630727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023838402251444422,0.0,5.874277107491359e-07,0.0,0.18525256630727271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005245188262711637,0.0,1.0538453130839499e-07,0.0,0.015000000000000003,0.0,0.0,0.0,0.014761615977485558,0.0,-5.874277107491359e-09,0.0,31650244,0
0.08,0.0004766860649251709,0.0,1.714913912814058e-08,0.0,0.0037025311604850066,0.0,2.3838402251444425e-06,0.0,5.874277107491359e-11,0.0,1.8525256630727272e-05,0.0,0.023830204241072666,0.0,1.1274862020649218e-06,0.0,0.18500054974122795,0.0,0.00023838402251444423,0.0,5.874277107491359e-09,0.0,0.0018525256630727272,0.0,0.005245188262711637,0.0,1.0538453130839499e-07,0.0,0.0175,0.0,0.0,0.0,0.017023313935074832,0.0,-1.714913912814058e-08,0.0,31650244,0
0.09,0.0007149759600325254,0.0,4.462185396816407e-08,0.0,0.005548100374925199,0.0,7.1507008767551165e-06,0.0,1.4192684548164054e-10,0.0,5.555056823557734e-05,0.0,0.023828989510735456,0.0,2.747271484002349e-06,0.0,0.18455692144401917,0.0,0.0004766860651610674,0.0,8.318407440672695e-09,0.0,0.0037025311604850066,0.0,0.005245188262711637,0.0,1.0538453130839499e-07,0.0,0.020000000000000004,0.0,0.0,0.0,0.01928502403996748,0.0,-4.462185396816407e-08,0.0,31650244,0
0.1,0.0009533232898946049,0.0,9.901269569097371e-08,0.0,0.0073873226514073985,0.0,1.4300460490836466e-05,0.0,1.909721761332244e-10,0.0,0.00011103157198482933,0.0,0.023834732986207946,0.0,5.439084172280964e-06,0.0,0.18392222764821992,0.0,0.0007149759614081349,0.0,4.904533065158383e-09,0.0,0.005548100374925199,0.0,0.005245188262711637,0.0,1.0538453130839499e-07,0.0,0.022500000000000003,0.0,0.0,0.0,0.0215466767101054,0.0,-9.901269569097371e-08,0.0,31650244,0
