time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,solve_time,metadata
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24752675,1218.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.313176640778014e-05,0.005890425666533501,-0.0006250000000000001,0.0,2.313176640778014e-05,0.005890425666533501,-0.0006250000000000001,0.0,24752675,0.01
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25256387545037e-05,0.011780487983865506,-0.0012500000000000002,0.0,9.25256387545037e-05,0.011780487983865506,-0.0012500000000000002,0.0,24752675,"[[20]
 [30]
 [30]
 [30]]"
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020817733649958203,0.017669823625207616,-0.0018750000000000004,0.0,0.00020817733649958203,0.017669823625207616,-0.0018750000000000004,0.0,24752675,0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003700797257013555,0.02355806930859622,-0.0025000000000000005,0.0,0.0003700797257013555,0.02355806930859622,-0.0025000000000000005,0.0,24752675,0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000578222819457852,0.029444861819301456,-0.003125,0.0,0.000578222819457852,0.029444861819301456,-0.003125,0.0,24752675,0
0.07,1.3231803602979857e-05,0.0008422068904907259,-0.00010591514826372559,-0.006544943162691263,0.0001028267561085102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013231803602979856,0.0842206890490726,-0.010591514826372559,-0.6544943162691264,0.01028267561085102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002911407409808691,0.018531165177016643,-0.001900117759851237,0.0,0.0008325937785225168,0.035329838032232,-0.0037500000000000007,0.0,0.0008193619749195369,0.03448763114174127,-0.003644084851736275,0.006544943162691263,34840308,0
0.08,2.6459171605765593e-05,0.0016841314541604804,-0.00021147928868378013,-0.013080981089955679,0.00020551360321421268,0.0,1.3231803602979857e-07,8.422068904907259e-06,-1.0591514826372558e-06,-6.544943162691264e-05,1.028267561085102e-06,0.0,0.0013227368002785736,0.08419245636697545,-0.010556414042005453,-0.6536037927264415,0.010268684710570247,0.0,1.3231803602979857e-05,0.0008422068904907259,-0.00010591514826372559,-0.006544943162691263,0.0001028267561085102,0.0,0.0002911407409808691,0.018531165177016643,-0.001900117759851237,0.0,0.0011331769120965784,0.041212634934334316,-0.004375,0.0,0.0011067177404908129,0.03952850348017384,-0.00416352071131622,0.013080981089955679,34840308,0
0.09,3.968620863364784e-05,0.0025260349512126372,-0.0003165583746414937,-0.019601341128009993,0.0003079541370287943,0.0,3.9690757638098284e-07,2.5263244998448746e-05,-3.175046891479335e-06,-0.00019625924252660774,3.0834035888255097e-06,-1.3450748512373177e-10,0.0013227037027882245,0.08419034970521568,-0.010507908595771361,-0.6520360038054315,0.01024405338145816,0.0,2.6458954035118422e-05,0.0016841176093541487,-0.00021158954088420793,-0.01308098108996951,0.00020551360277404075,-1.3450748512373176e-08,0.0002911407409808691,0.018531165177016643,-0.001900117759851237,0.0,0.0014799536787963863,0.047092889646985034,-0.005000000000000001,0.0,0.0014402674701627385,0.044566854695772394,-0.004683441625358507,0.019601341128009993,34840308,0
0.1,5.2917002877868694e-05,0.003368177595816993,-0.00042101931484327294,-0.026099269961547954,0.00041004225708688715,0.0,7.9375989005489e-07,5.0522972748972343e-05,-6.345589377629077e-06,-0.00039227265380857123,6.162944899805042e-06,-7.38895937908727e-10,0.0013230794244220854,0.08421426446043559,-0.010446094020177925,-0.6497928833537959,0.010208812005809288,0.0,3.968523136739071e-05,0.0025259727750523596,-0.00031705424861497414,-0.01960134112819635,0.0003079541310979533,-6.043884527849952e-08,0.0002911407409808691,0.018531165177016643,-0.001900117759851237,0.0,0.0018729026877974952,0.052970239448375006,-0.005625000000000001,0.0,0.0018199856849196265,0.04960206185255801,-0.005203980685156728,0.026099269961547954,34840308,0
0.11,6.615562107357777e-05,0.004210818236446761,-0.0005247302455334719,-0.03256804061119829,0.0005116722766783739,-2.2736453875362384e-23,1.3229039150957024e-06,8.420309457171491e-05,-1.0568997902600879e-05,-0.0006532653534339638,1.0263367155191844e-05,-2.347379540298907e-09,0.0013238618195709072,0.0842640640629768,-0.010371093069019894,-0.646877064965034,0.010163001959148675,-2.2736453875362384e-21,5.2914402504081255e-05,0.0033680121822742574,-0.00042234085249718005,-0.026099269962539254,0.0004100422255386802,-1.60848360239018e-07,0.0002911407409808691,0.018531165177016643,-0.001900117759851237,0.0,0.002311999700154055,0.05884432179588371,-0.00625,0.0,0.0022458440790804773,0.05463350355943695,-0.005725269754466528,0.03256804061119829,34840308,0
0.12,7.940610351768778e-05,0.005054214038749035,-0.0006275608003949634,-0.0390009594012477,0.0006127390323108777,3.366916894101344e-26,1.9844060873294727e-06,0.00012630784006902902,-1.5843813842472462e-05,-0.0009789457595802528,1.5380088830180518e-05,-5.689957009397578e-09,0.0013250482444110002,0.08433958023022738,-0.010283055486149151,-0.6432918790049412,0.010106675563250369,2.2770123044303396e-21,6.6150217223377e-05,0.00421047454973141,-0.0005274815939871582,-0.0325680406146289,0.0005116721674988674,-3.342577469098671e-07,0.0002911407409808691,0.018531165177016643,-0.001900117759851237,0.0,0.0027972176302940577,0.06471477434844254,-0.006875000000000001,0.0,0.00271781152677637,0.05966056030969351,-0.006247439199605038,0.0390009594012477,34840308,0
0.13,0.00013147433325259308,0.006199252687818363,-0.0007149406013958003,-0.047727642938203,0.0010146744245195993,1.4375204703475047e-05,2.7783701296215057e-06,0.0001768438127549947,-2.2168909057446427e-05,-0.0013689553536849854,2.1507476217243837e-05,-1.1688338826130994e-08,0.0052068229734905285,0.11450386490693279,-0.008737980100083687,-0.87266835369553,0.040193539220872154,0.0014375204703475047,7.939640422920329e-05,0.005053597268596566,-0.0006325095214973963,-0.03900095941047327,0.000612738738706332,-5.998381816733415e-07,0.0011449023838209828,0.02514601347594226,-0.0016410322919684656,8.367806657892824e-06,0.0033285265476900028,0.07058123498888574,-0.0075000000000000015,0.0,0.00319705221443741,0.06438198230106738,-0.006785059398604201,0.047727642938203,36138676,0
0.14,0.0001835523662011614,0.00734546181396165,-0.0008008780311193982,-0.056402034375613794,0.0014154276671966065,2.87291219538417e-05,4.092958595550787e-06,0.00023882649431504138,-2.940320162246289e-05,-0.0018462317802740227,3.1654407744818235e-05,1.1817313802182496e-07,0.005207803294856832,0.1146209126143287,-0.008593742972359788,-0.8674391437410788,0.04007532426770071,0.0014353917250366653,0.0001314588465929281,0.006198268156004669,-0.0007234292565016464,-0.04772764265890374,0.00101469315275744,1.2986147684795595e-05,0.0011449023838209828,0.02514601347594226,-0.0016410322919684656,8.367806657892824e-06,0.0039058936787050857,0.07644334184628752,-0.008125,0.0,0.0037223413125039243,0.06909788003232588,-0.007324121968880602,0.056402034375613794,36138676,0
