time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,solve_time,metadata
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-1.3,0.0,0.8,0.0,-1.3,0.0,66004186,1218.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999874112518923,0.004487965964199667,-1.3,0.0,0.7999874112518923,0.004487965964199667,-1.3,0.0,66004186,0.01
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999496454037605,0.008975790683716737,-1.3,0.0,0.7999496454037605,0.008975790683716737,-1.3,0.0,66004186,"[[35]
 [35]
 [35]
 [35]]"
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7998867036441666,0.013463332918313845,-1.3,0.0,0.7998867036441666,0.013463332918313845,-1.3,0.0,66004186,0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7997985879540053,0.01795045143664395,-1.3,0.0,0.7997985879540053,0.01795045143664395,-1.3,0.0,66004186,0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7996853011064423,0.022437005020695167,-1.3,0.0,0.7996853011064423,0.022437005020695167,-1.3,0.0,66004186,0
0.07,-5.030546570565287e-06,0.00029887601667995327,8.007893477241032e-09,-0.002322619968974714,-3.9093293765902534e-05,0.0,0.8,0.0,-1.3,0.0,0.0,0.0,-0.0005030546570565286,0.029887601667995325,8.007893477241032e-07,-0.23226199689747137,-0.003909329376590253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011068763564200078,0.006576199856685907,1.4366160898170413e-07,0.0,0.7995468466668267,0.026922852470235143,-1.3,0.0,0.7995518772133973,0.02662397645355519,-1.3000000080078935,0.002322619968974714,87048871,0
0.08,-1.005936313869645e-05,0.0005976492500481721,2.4510715807700005e-08,-0.004642080258607606,-7.81334052314865e-05,-1.7762854590126862e-25,0.7999999496945344,2.988760166799533e-06,-1.2999999999199212,-2.322619968974714e-05,-3.9093293765902534e-07,0.0,-0.0005028816568131164,0.02987732333682188,1.6502822330458975e-06,-0.23194602896328914,-0.003904011146558397,-1.7762854590126862e-23,-5.030546570565287e-06,0.00029887601667995327,8.007893477241032e-09,-0.002322619968974714,-3.9093293765902534e-05,0.0,-0.00011068763564200078,0.006576199856685907,1.4366160898170413e-07,0.0,0.7993832289925784,0.03140785260725489,-1.3,0.0,0.7993932883557171,0.03081020335720672,-1.300000024510716,0.004642080258607606,87048871,0
0.09,-1.5087923360742667e-05,0.0008964072533224587,6.64856064539972e-08,-0.006955978520407493,-0.00011707989914838721,-8.878796891239916e-25,0.7999998491009029,8.965252671362133e-06,-1.2999999998136647,-6.964700227583029e-05,-1.1722669897631426e-06,1.8147420721834153e-11,-0.0005028560222046217,0.02987580032742866,4.197489064629719e-06,-0.23138982617998874,-0.003894649391690071,-7.102511432227229e-23,-1.005936314285114e-05,0.00059764925045626,1.0625662439906755e-08,-0.004642080258608315,-7.813340521041173e-05,1.8147420721834154e-09,-0.00011068763564200078,0.006576199856685907,1.4366160898170413e-07,0.0,0.7991944532330518,0.03589186428041194,-1.3,0.0,0.7992095411564125,0.03499545702708948,-1.3000000664856064,0.006955978520407493,87048871,0
0.1,-2.0117695590287386e-05,0.0011952372646713086,1.5078864315709056e-07,-0.009261919254465211,-0.00015589245554042402,5.344634904758237e-25,0.7999996982216692,1.792932522914818e-05,-1.2999999997733063,-0.0001392067874800008,-2.3430659784074145e-06,9.969006068038401e-11,-0.0005029772229544719,0.029883001134884978,8.430303670309336e-06,-0.23059407340577187,-0.00388125563920368,1.4223431795998153e-22,-1.5087923381751596e-05,0.0008964072557786046,4.03584125649672e-09,-0.006955978520417052,-0.0001170798988644272,8.154263995854986e-09,-0.00011068763564200078,0.006576199856685907,1.4366160898170413e-07,0.0,0.798980525329373,0.040374746369472636,-1.3,0.0,0.7990006430249633,0.03917950910480133,-1.3000001507886432,0.009261919254465211,87048871,0
