time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,solve_time,metadata
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90762,100.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025000000000000005,0.0,0.0,0.0,0.0025000000000000005,0.0,0.0,0.0,90762,0.01
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005000000000000001,0.0,0.0,0.0,0.005000000000000001,0.0,0.0,0.0,90762,"[[20]
 [30]
 [30]
 [30]]"
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075000000000000015,0.0,0.0,0.0,0.0075000000000000015,0.0,0.0,0.0,90762,0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,90762,0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,90762,0
0.07,0.0006817220199963008,0.0,0.0,0.0,0.005297786000101596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06817220199963007,0.0,0.0,0.0,0.5297786000101596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000005,0.0,0.0,0.0,0.015000000000000003,0.0,0.0,0.0,0.014318277980003702,0.0,0.0,0.0,57193,0
0.08,0.0013632095965801791,0.0,4.429586956606688e-08,0.0,0.010588364921377071,0.0,6.817220199963008e-06,0.0,0.0,0.0,5.297786000101596e-05,0.0,0.06814875765838785,0.0,4.429586956606688e-06,0.0,0.5290578921275476,0.0,0.0006817220199963008,0.0,0.0,0.0,0.005297786000101596,0.0,0.015000000000000005,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,0.016136790403419823,0.0,-4.429586956606688e-08,0.0,57193,0
0.09,0.0020446624313861855,0.0,2.2119001585835332e-07,0.0,0.01586625712150102,0.0,2.0449316170101517e-05,0.0,-2.792405762197816e-10,0.0,0.00015886150921478668,0.0,0.06814528348060064,0.0,1.7689414629228642e-05,0.0,0.5277892200123948,0.0,0.0013632095970138509,0.0,-2.792405762197816e-08,0.0,0.010588364921377071,0.0,0.015000000000000005,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.017955337568613818,0.0,-2.2119001585835332e-07,0.0,57193,0
0.1,0.002726279489529238,0.0,6.183551716114724e-07,0.0,0.021125998583242597,0.0,4.089594057734365e-05,0.0,-1.3155220287325516e-09,0.0,0.00031752408042979685,0.0,0.06816170581430529,0.0,3.971651557531192e-05,0.0,0.5259741461741578,0.0,0.0020446624407242137,0.0,-1.0362814525127701e-07,0.0,0.01586625712150102,0.0,0.015000000000000005,0.0,0.0,0.0,0.022500000000000003,0.0,0.0,0.0,0.019773720510470764,0.0,-6.183551716114724e-07,0.0,57193,0
