time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,solve_time,metadata
0.01,-0.0019739208802178713,0.006283185307179587,-0.0024999999999999996,-0.04882777756922194,-0.015339698730258413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19739208802178715,0.6283185307179586,-0.24999999999999997,-4.882777756922194,-1.5339698730258413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04343238495278287,0.138249575110109,-0.04485,-0.0,0.0,0.0,0.0,0.0,0.0019739208802178713,-0.006283185307179587,0.0024999999999999996,0.04882777756922194,38009455,4100.0
0.02,-0.003947567172971147,0.01256549657531314,-0.004989176890076461,-0.09758886052121332,-0.03065844472856427,-2.910266096046385e-21,-1.9739208802178715e-05,6.283185307179587e-05,-2.4999999999999998e-05,-0.00048827777569221946,-0.00015339698730258415,0.0,-0.1973646292753275,0.6282311268133554,-0.24891768900764613,-4.8761082951991375,-1.5318745998305858,-2.910266096046385e-19,-0.0019739208802178713,0.006283185307179587,-0.0024999999999999996,-0.04882777756922194,-0.015339698730258413,0.0,-0.04343238495278287,0.138249575110109,-0.04485,-0.0,9.869596283573756e-06,0.006283174971759127,-0.00025,0.0,0.003957436769254721,-0.006282321603554013,0.004739176890076461,0.09758886052121332,38009455,0.01
0.03,-0.005862758220896055,0.018899478760602863,-0.007282685235993257,-0.14660636473286465,-0.0454773326821839,-7.235734575531695e-06,-5.920721740974891e-05,0.0001884624428049253,-7.495917233940872e-05,-0.0014641664038676312,-0.00045998139804103355,1.4969836779531685e-07,-0.19151910479249082,0.6333982185289724,-0.2293508345916796,-4.901750421165133,-1.4818887953619626,-0.0007235734575531692,-0.00394680086075702,0.012563058973312944,-0.004995917233940872,-0.09758886281754117,-0.03065844107384494,1.4969836779531684e-05,-0.04212182549214554,0.13930894684216355,-0.04168142324370507,-4.211921096416991e-06,3.9478287725769334e-05,0.012566287931117902,-0.0005,0.0,0.005902236508621824,-0.006333190829484961,0.006782685235993256,0.14660636473286465,33253278,gamma_th = 10
0.04,-0.007780324694665909,0.025241076122723825,-0.009549340579438109,-0.1954547914672941,-0.060243902460362084,-1.4460754148135845e-05,-0.00011780119544643698,0.0003773503884652125,-0.00014808962621906273,-0.002930230324198164,-0.0009147543433383944,7.432047509835043e-07,-0.1917566473769854,0.6341597362120961,-0.2266655343444851,-4.884842673442947,-1.4766569778178185,-0.000722501957260415,-0.005859397803668806,0.018888794566028724,-0.007313045387965399,-0.14660639203305328,-0.04547729452973608,5.935063831881874e-05,-0.04212182549214554,0.13930894684216355,-0.04168142324370507,-4.211921096416991e-06,8.882578210034353e-05,0.01884927686628801,-0.00075,0.0,0.007869150476766253,-0.006391799256435814,0.008799340579438108,0.1954547914672941,33253278,gamma_ph = 10
0.05,-0.009619835683198047,0.03156301052738672,-0.011379508998495585,-0.2438390138019954,-0.07430797134294628,-5.623708623467082e-05,-0.00019551656803368063,0.0006294801910309544,-0.0002443933732424934,-0.00488477972139161,-0.0015171912053306997,2.3638810805695394e-06,-0.18395109885321384,0.6321934404662897,-0.1830168419057476,-4.83842223347013,-1.4064068882584193,-0.004177633208653497,-0.007771537258724364,0.02521298025657419,-0.009630374702343068,-0.1954549397193446,-0.06024368619923051,0.0001620676329586035,-0.040324591335898885,0.13861781636708434,-0.034479308417984265,-2.43304680776477e-05,0.00015791159236777652,0.025132079766705215,-0.001,0.0,0.009777747275565823,-0.006430930760681505,0.010379508998495584,0.2438390138019954,36425163,gamma_psi = 10
0.06,-0.011463842510569323,0.037899676296422415,-0.013167958804732151,-0.2919529214782823,-0.08828990069373524,-9.795155403971024e-05,-0.00029154057298260685,0.000944550441950011,-0.00035987470150131195,-0.007323174513250666,-0.002260264800485034,5.431286738456015e-06,-0.18440068273712762,0.6336665769035695,-0.17884498062365667,-4.811390767628686,-1.3981929350788962,-0.0041714467805039415,-0.00960240049489262,0.031507025091905665,-0.011548132825881853,-0.2438394791859056,-0.07430735951543344,0.0003067405657886476,-0.040324591335898885,0.13861781636708434,-0.034479308417984265,-2.43304680776477e-05,0.00024673503667882457,0.03141463462364135,-0.0012500000000000002,0.0,0.011710577547248148,-0.006485041672781064,0.011917958804732152,0.2919529214782823,36425163,k1 = [[ 1  1 10  1]]
0.07,-0.013229626401205511,0.04420742291780871,-0.014568635933044173,-0.33938000371489685,-0.1015243673747548,-0.00019772348856740392,-0.00040587686268652736,0.0013225721174011968,-0.000494584962811302,-0.010242716128040074,-0.0031431473061826814,1.0917377191596202e-05,-0.17657838906361878,0.6307746621386295,-0.14006771283120217,-4.742708223661454,-1.3234466681019554,-0.009977193452769368,-0.011433628970392051,0.03780216754511857,-0.01347102613099901,-0.2919541614789408,-0.08828825056976478,0.0005486090453140186,-0.03848203090246765,0.1375803702790857,-0.02841240839873875,-5.816167732815277e-05,0.00035529523838206956,0.03769687943081635,-0.0015,0.0,0.01358492163958758,-0.006510543486992357,0.013068635933044173,0.33938000371489685,32285740,k2 = [[ 1  1 10  1]]
0.08,-0.015001509254476414,0.05053550862045722,-0.015913456051172836,-0.3864377167771879,-0.11464867992897436,-0.0002973476763032013,-0.0005377051619955063,0.0017631295199404126,-0.0006452067256449228,-0.013636542635416207,-0.004158357976048975,1.9338958546407724e-05,-0.1771882853270902,0.6328085702648515,-0.13448201181286637,-4.7057713062291056,-1.3124312554219562,-0.00996241877357974,-0.013182829930897888,0.044055740253921574,-0.015062176283362073,-0.33938265073761326,-0.10152106698662933,0.0008421581354811524,-0.03848203090246765,0.1375803702790857,-0.02841240839873875,-5.816167732815277e-05,0.00048359112603191257,0.04397875218501022,-0.0017500000000000003,0.0,0.015485100380508326,-0.006556756435447002,0.014163456051172836,0.3864377167771879,32285740,theta_limit = 0.17453292519943295
0.09,-0.016694378052829792,0.056826054705375974,-0.016935268394785312,-0.432605208160977,-0.12698150076115322,-0.0004731906398079618,-0.0006870383571136269,0.002266264754327057,-0.0008118399523670133,-0.017500972450096946,-0.005304778726031042,3.19994992913193e-05,-0.16928687983533774,0.6290546084918753,-0.10218123436124767,-4.616749138378905,-1.2332820832178848,-0.017584296350476047,-0.014933319511812064,0.05031352343866442,-0.01666332267220905,-0.3864429814680739,-0.11464207499820668,0.001266054074491157,-0.036591463175032896,0.13624390448617155,-0.023753994283228216,-0.00010261450275309442,0.0006316214334001202,0.05026019088667496,-0.002,0.0,0.017325999486229912,-0.006565863818701015,0.014935268394785312,0.432605208160977,30851232,phi_limit = 0.17453292519943295
0.1,-0.01839453525731553,0.06314123672954378,-0.017888004438536585,-0.4783070698855543,-0.1391780914680772,-0.0006487732071015196,-0.0008530468846335523,0.0028314692817720116,-0.000991994379738788,-0.021827117316771096,-0.0065744820853089045,4.9490426688542e-05,-0.17001572044857385,0.6315182024167809,-0.09527360437512725,-4.5701861724577375,-1.2196590706923975,-0.017558256729355775,-0.01660085275199254,0.05652045274449545,-0.018015442737177464,-0.43261448666741514,-0.12697033592778625,0.00174909273972227,-0.036591463175032896,0.13624390448617155,-0.023753994283228216,-0.00010261450275309442,0.0007993846994869269,0.056541133540546504,-0.00225,0.0,0.019193919956802457,-0.006600103188997272,0.015638004438536586,0.4783070698855543,30851232,psi_limit = 0.17453292519943295
