time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,solve_time,metadata
0.01,0.0019999999999999996,0.0,-0.019999999999999997,0.0,0.015542364320666486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,-1.9999999999999998,0.0,1.5542364320666486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044006206518256215,0.0,-0.3588,0.0,0.0,0.0,0.0,0.0,-0.0019999999999999996,0.0,0.019999999999999997,0.0,31845815,2000.0
0.02,0.00400258886161705,0.0,-0.039946107045432507,0.0,0.031062898419475703,0.0,1.9999999999999995e-05,0.0,-0.00019999999999999998,0.0,0.00015542364320666487,0.0,0.200258886161705,0.0,-1.9946107045432508,0.0,1.5520534098809216,0.0,0.0019999999999999996,0.0,-0.019999999999999997,0.0,0.015542364320666486,0.0,0.044006206518256215,0.0,-0.3588,0.0,0.002,0.0,-0.002,0.0,-0.00200258886161705,0.0,0.037946107045432505,0.0,31845815,0.01
0.03,0.006031454093260953,0.0,-0.058325170801817774,0.0,0.04667298699537252,0.0,5.996380243808834e-05,0.0,-0.0005994672865989388,0.0,0.0004660526274014219,0.0,0.20288652316439035,0.0,-1.837906375638527,0.0,1.561008857589682,0.0,0.003996380243808835,0.0,-0.03994672865989389,0.0,0.031062898419475703,0.0,0.044370964368456924,0.0,-0.3316651656910029,0.0,0.004,0.0,-0.004,0.0,-0.002031454093260953,0.0,0.05432517080181777,0.0,26691353,gamma_th = 10
0.04,0.008076401245140568,0.0,-0.07665313486596657,0.0,0.06222637690809191,0.0,0.00012000651083926861,0.0,-0.0011827470410237636,0.0,0.0009327824973551471,0.0,0.20449471518796156,0.0,-1.83279640641488,0.0,1.5553389912719389,0.0,0.006004270840118026,0.0,-0.058327975442482485,0.0,0.04667298699537252,0.0,0.044370964368456924,0.0,-0.3316651656910029,0.0,0.006,0.0,-0.006,0.0,-0.002076401245140568,0.0,0.07065313486596657,0.0,26691353,gamma_ph = 10
0.05,0.010144784718957904,0.0,-0.09149640359887817,0.0,0.07771199901258972,0.0,0.0002000554812329543,0.0,-0.0019493533914567403,0.0,0.0015550462664360664,0.0,0.20683834738173362,0.0,-1.4843268732911603,0.0,1.5485622104497816,0.0,0.00800489703936857,0.0,-0.07666063504329766,0.0,0.06222637690809191,0.0,0.04438879206886311,0.0,-0.270077962873517,0.0,0.008,0.0,-0.008,0.0,-0.002144784718957904,0.0,0.08349640359887817,0.0,26726034,gamma_psi = 10
0.06,0.012239449177211455,0.0,-0.10629647133950489,0.0,0.09310685393088557,0.0,0.0003000803949288894,0.0,-0.002864474077209391,0.0,0.0023321662565619636,0.0,0.20946644582535504,0.0,-1.4800067740626712,0.0,1.5394854918295842,0.0,0.010002491369593506,0.0,-0.09151206857526506,0.0,0.07771199901258972,0.0,0.04438879206886311,0.0,-0.270077962873517,0.0,0.010000000000000002,0.0,-0.010000000000000002,0.0,-0.002239449177211453,0.0,0.09629647133950489,0.0,26726034,k1 = [[ 1  1 10  1]]
0.07,0.014366454808119225,0.0,-0.11804456965085466,0.0,0.10840016221338385,0.0,0.0004199955456600943,0.0,-0.00392772134391845,0.0,0.003263234795870819,0.0,0.2127005630907769,0.0,-1.1748098311349773,0.0,1.5293308282498277,0.0,0.011991515073120494,0.0,-0.10632472667090591,0.0,0.09310685393088557,0.0,0.04440630145975412,0.0,-0.21611268891259103,0.0,0.012,0.0,-0.012,0.0,-0.002366454808119225,0.0,0.10604456965085467,0.0,29028852,k2 = [[ 1  1 10  1]]
0.08,0.01652674706862313,0.0,-0.12975616863012454,0.0,0.12356960971771155,0.0,0.0005598072641866399,0.0,-0.005108629565645936,0.0,0.004347236418004658,0.0,0.21602922605039035,0.0,-1.1711598979269886,0.0,1.5169447504327713,0.0,0.013981171852654552,0.0,-0.11809082217274867,0.0,0.10840016221338385,0.0,0.04440630145975412,0.0,-0.21611268891259103,0.0,0.014000000000000002,0.0,-0.014000000000000002,0.0,-0.0025267470686231273,0.0,0.11575616863012454,0.0,29028852,theta_limit = 0.08726646259971647
0.09,0.01872231660366352,0.0,-0.1390094628740609,0.0,0.13858211669749868,0.0,0.0007194323835744054,0.0,-0.006406897445509102,0.0,0.005582932515181774,0.0,0.21955695350403925,0.0,-0.9253294243936361,0.0,1.5012506979787132,0.0,0.015962511938776562,0.0,-0.1298267879863165,0.0,0.12356960971771155,0.0,0.04435942738375103,0.0,-0.17267799046801544,0.0,0.016,0.0,-0.016,0.0,-0.002722316603663521,0.0,0.12300946287406091,0.0,26309215,phi_limit = 0.08726646259971647
0.1,0.02095575652166523,0.0,-0.148231348650736,0.0,0.1534386513751685,0.0,0.0008988918676407296,0.0,-0.0077980156591534065,0.0,0.00696875368215676,0.0,0.22334399180017112,0.0,-0.9221885776675094,0.0,1.4856534677669821,0.0,0.01794594840663242,0.0,-0.13911182136443048,0.0,0.13858211669749868,0.0,0.04435942738375103,0.0,-0.17267799046801544,0.0,0.018,0.0,-0.018,0.0,-0.002955756521665232,0.0,0.13023134865073602,0.0,26309215,psi_limit = 0.17453292519943295
0.11,0.023223615737644972,0.0,-0.1554971286481899,0.0,0.16807172868980272,0.0,0.0010981145504924484,0.0,-0.00928175349585452,0.0,0.008503140195908445,0.0,0.226785921597974,0.0,-0.7265779997453907,0.0,1.4633077314634222,0.0,0.019922268285171862,0.0,-0.14837378367011136,0.0,0.1534386513751685,0.0,0.04421374066337108,0.0,-0.13816167159360676,0.0,0.020000000000000004,0.0,-0.020000000000000004,0.0,-0.0032236157376449685,0.0,0.1354971286481899,0.0,26137009,psi cbf = False
