time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,solve_time,metadata
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.7146265506744385,0.04406007379293442,-1.3962352275848389,-0.0038668176661715847,0.020258143961721764,0.3391213594005462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004924363007964308,0.006471836297478881,0.09297696125013444,-0.0004909611168818254,0.7984838,0.049230266,-1.3,0.0,0.7984837889671326,0.049230266362428665,-1.2999999523162842,0.0,3137303379,1313.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.7146265506744385,0.04406007379293442,-1.3962352275848389,-0.0038668176661715847,0.020258143961721764,0.3391213594005462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004953284995669804,0.006695658662308846,0.0929883060643449,-0.0004909641102876254,0.7982263,0.053243246,-1.3,0.0,0.7982262969017029,0.0532432459294796,-1.2999999523162842,0.0,19511926,0.04
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.6952501893043518,0.049405440315604204,-1.385525369644165,-0.0032334379010399593,0.005577444317320123,0.34191455269853355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060519676074613235,0.006873252031181475,0.08152618829332356,-0.0004948663351688619,0.79794854,0.05725488,-1.3,0.0,0.7979485392570496,0.05725488066673279,-1.2999999523162842,0.0,19602302,"[[1.00000000e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 1.00000000e+02 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 1.00000000e+02 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  4.00000000e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 4.00000000e+02 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 4.00000000e+02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 3.28280635e+02]]"
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.6952501893043518,0.049405440315604204,-1.385525369644165,-0.0032334379010399593,0.005577444317320123,0.34191455269853355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060790755539357755,0.007096910800178088,0.08152292350437652,-0.0004948678916580318,0.7976507,0.06126507,-1.3,0.0,0.7976506948471069,0.061265069991350174,-1.2999999523162842,0.0,19035387,"[[3.26530612e+04 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 3.26530612e+04 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 1.00000000e+03 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+07]]"
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6952501893043518,0.049405440315604204,-1.385525369644165,-0.0032334379010399593,0.005577444317320123,0.34191455269853355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006105066964604245,0.007320595941558455,0.08151927307461283,-0.0004948694650049471,0.79733264,0.06527371,-1.3,0.0,0.7973326444625854,0.0652737095952034,-1.2999999523162842,0.0,18838332,13
0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.6844318851232528,0.052936831716448064,-1.3794135425090788,-0.008863334513047048,0.00314555949144207,0.3430931843132108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007177286749544603,0.007244740431883905,0.07564435085747945,-0.0004965294197896858,0.79699445,0.0692807,-1.3,0.0,0.7969944477081299,0.0692806988954544,-1.2999999523162842,0.0,19974251,0
0.28,-0.04903662639957464,0.03043680127453684,0.03191439758154731,-0.040246074267718736,0.013287284916226315,-0.01459367384158918,0.6820769918683063,0.05346098527950506,-1.3780872210814403,-0.010545647724534365,0.0036937718482643635,0.3424781630632314,1.3458763212813414,-0.7798149518243622,-0.8376796956443041,0.6833294931353192,0.13150715037417932,0.15745748140318858,-0.05641242231789308,0.012556311032990335,0.03177256733316752,-0.040300494792299295,0.013132649188232053,-0.014733083300245853,0.01204190655226248,0.005119751315180237,0.04171350369961009,-0.00048643669052497664,0.79663616,0.07328593,-1.3,0.0,0.8456727905879596,0.0428491285841477,-1.3319143498978314,0.040246074267718736,60881280,0
0.32,-0.02283503931102434,0.020853896903846755,0.02057012560546797,-0.021880003522908316,0.021640325582074665,-0.03911070576491996,0.6810205778343533,0.05362995736818714,-1.377298533993773,-0.011101417873052551,0.0049519468625610005,0.3401490221136699,-0.01795786360590202,0.06600965965045305,0.04028530250512547,-0.08866922704641429,-0.02025298625498054,-0.09626224001613846,-0.0284646931322017,0.012288423834992684,0.020450183089111895,-0.022074856940959092,0.021204816733097556,-0.0393490115746077,0.00972084829842496,0.006029325396562729,0.0529335767656414,-0.0004722184467697776,0.79625773,0.07728932,-1.3,0.0,0.8190927736097304,0.056435423624660475,-1.3205700779217522,0.021880003522908316,64250780,0
0.36,-0.015446179400548004,0.041481720030686176,0.026567489204616806,-0.056882972049760734,0.018781519346688622,-0.0448890138702253,0.6802500814222596,0.05489562185726138,-1.3765351882597812,-0.013133243578994262,0.0053926639731144595,0.33892067265771547,0.03771524686132199,0.07987630380671012,0.0241721602636096,-0.08787958301951994,-0.0471583693007685,0.01985089863757662,-0.028341172962562586,0.03435902380806804,0.026103341461933573,-0.05712635502921401,0.01819037822628662,-0.04513245407099689,0.009708385813054362,0.0043122966850308204,0.046029384436981,-0.00046786144509737885,0.79585916,0.08129076,-1.3,0.0,0.8113053374396411,0.039809039115527356,-1.326567441520901,0.056882972049760734,64293144,0
0.4,-0.015446179400548004,0.041481720030686176,0.026567489204616806,-0.056882972049760734,0.018781519346688622,-0.0448890138702253,0.6802500814222596,0.05489562185726138,-1.3765351882597812,-0.013133243578994262,0.0053926639731144595,0.33892067265771547,0.03771524686132199,0.07987630380671012,0.0241721602636096,-0.08787958301951994,-0.0471583693007685,0.01985089863757662,-0.028341172962562586,0.03435902380806804,0.026103341461933573,-0.05712635502921401,0.01819037822628662,-0.04513245407099689,0.009727622150337557,0.004534387073332071,0.04606477167927941,-0.0004678699225997428,0.7954405,0.08529014,-1.3,0.0,0.8108866744147387,0.043808421372988904,-1.326567441520901,0.056882972049760734,61843845,0
