time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,solve_time,metadata
0.033,-0.00030181283867538336,0.004035845805312868,0.0,-0.03136329292410312,-0.0023454425476736747,0.0,0.800000011920929,0.0,-1.2999999523162842,0.0,0.0,0.0,-0.009145843596223738,0.12229835773675359,0.0,-0.9504028158819127,-0.07107401659617196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002012369410395465,0.026909433937035782,0.0,0.0,0.8,0.0,-1.3,0.0,0.8003018247596043,-0.004035845805312868,-1.2999999523162842,0.03136329292410312,2604132574,757.0
0.066,-0.0006032831601690854,0.00806711146573527,5.151737009444439e-06,-0.06258578656142058,-0.004680355695940587,0.0,0.7999900520972527,0.00013318291157532466,-1.2999999523162842,-0.001034988666495403,-7.739960407323126e-05,0.0,-0.009135464287687939,0.1221595654673455,0.00015611324271043754,-0.946136170827802,-0.07075494388687613,0.0,-0.00030181283867538336,0.004035845805312868,0.0,-0.03136329292410312,-0.0023454425476736747,0.0,-0.002012369410395465,0.026909433937035782,0.0,0.0,0.79999316,0.0033175123,-1.3,0.0,0.8005964405469489,-0.0047495991267542375,-1.3000051040532936,0.06258578656142058,2604132574,0.033
0.099,-0.0008846750526655674,0.011922094936027385,0.0008933603058093828,-0.09187991807188813,-0.006817473781730949,0.0004761713476854943,0.7999701437611941,0.000399397623315434,-1.3000000593790773,-0.003100319635395056,-0.00023185125931480827,1.5985577025456436e-07,-0.00852702704534794,0.1168176809179429,0.026915411175755705,-0.8877009548626527,-0.06476115411485946,0.01442943477834831,-0.0006032829108664983,0.00806711247697301,-3.2443270656945008e-06,-0.06258578693635311,-0.004680353189138697,4.8441142501383134e-06,-0.0018743639109125036,0.025678821477003174,0.004717201421195683,8.399373984476551e-05,0.7999725,0.006634968,-1.3,0.0,0.8008571496277083,-0.005287127068742372,-1.3008933126220936,0.09187991807188813,1035318,"[[30]
 [30]
 [30]
 [20]]"
0.132,-0.0011672120281015083,0.01579547928429313,0.0017976827804143292,-0.12033707433607067,-0.008892219574399026,0.0009500157463663051,0.7999409428699875,0.0007929162607570833,-1.2999718051542715,-0.006132360736696375,-0.00045677809560366807,1.6570933526319532e-05,-0.008561726528361846,0.11737528328078012,0.027403711351665038,-0.8623380686115923,-0.06287108462630536,0.014358921172145784,-0.0008848754911084195,0.011924807195201491,0.0008561886304786323,-0.09188003337276723,-0.006815964736026054,0.0004973053865474232,-0.0018743639109125036,0.025678821477003174,0.004717201421195683,8.399373984476551e-05,0.79993814,0.00995231,-1.3,0.0,0.8011053543277536,-0.005843169742888881,-1.3017976350966984,0.12033707433607067,1035318,0
0.165,-0.001462270366600172,0.019314532459886544,0.0021890341958803877,-0.14465664540161058,-0.01096472546172123,0.0011529958499568369,0.7999023905965069,0.0013145204283711532,-1.299915696816008,-0.01010349933171611,-0.000750023572494359,4.9720355696410434e-05,-0.008941161772686779,0.10663797501798226,0.011859133802001773,-0.7369566989557546,-0.06280320870673343,0.006150912230016114,-0.001168250711534267,0.015806186897396057,0.0017002526746519857,-0.1203375331824162,-0.008886226572445182,0.001004527944548209,-0.0019463606744374918,0.02312671708707093,0.0017951255697421726,3.662337366429156e-05,0.79989,0.013269479,-1.3,0.0,0.8013522521132738,-0.0060450530733780795,-1.3021889865121645,0.14465664540161058,904385,0
0.198,-0.001760026024138023,0.022875042529691924,0.0026127364053484723,-0.16751083415931353,-0.012927754381869603,0.0013549840325669982,0.7998540546149951,0.001952594910719981,-1.299849938239913,-0.014877199907959174,-0.0011114566245334645,9.142303544662337e-05,-0.009022898713268213,0.10789424453955695,0.012839460892972254,-0.692551174475847,-0.05948572485298098,0.006120854018489738,-0.0014647267124766098,0.019335590374206905,0.001992684124094004,-0.14465759321948682,-0.010952516728457738,0.0012637175681882709,-0.0019463606744374918,0.02312671708707093,0.0017951255697421726,3.662337366429156e-05,0.79982805,0.016586421,-1.3,0.0,0.80158807854489,-0.006288621472110022,-1.3026126887216327,0.16751083415931353,904385,0
0.231,-0.002078974743313488,0.026209713077139256,0.0026692330437160165,-0.18648614240976166,-0.014896793330716848,0.0010305989200476808,0.7997958213317873,0.002708665125575775,-1.299775022113522,-0.020405114181925622,-0.0015373601067124292,0.00014247920762175197,-0.009665112702286816,0.10105062264991914,0.001712019344471037,-0.5750093409226703,-0.05966784693476502,-0.009829851894524769,-0.0017646449456916126,0.022911218631993756,0.0022701856482053966,-0.1675125537565591,-0.012906166126635298,0.0015471567325796545,-0.0020649855710917118,0.02128505126352409,-0.0004047889017890715,-5.605157164195592e-05,0.7997524,0.019903079,-1.3,0.0,0.8018313889698455,-0.006306634401869175,-1.30266918536,0.18648614240976166,898336,0
0.264,-0.002402739842021358,0.029606102316304915,0.0027665806223161568,-0.20348899157942135,-0.016711580623711166,0.0007077990091965862,0.7997269835244475,0.0035751930547362008,-1.2997047088933502,-0.02655922457611494,-0.0020281580229979885,0.0001865122832494112,-0.009811063597208184,0.10292088603532304,0.0029499266242466794,-0.5152378536260516,-0.05499355433316111,-0.0097818154803362,-0.002085994161812016,0.026258422095770482,0.002130703641571056,-0.18648819376331258,-0.014872664129865423,0.001334335625080583,-0.0020649855710917118,0.02128505126352409,-0.0004047889017890715,-5.605157164195592e-05,0.799663,0.023219394,-1.3,0.0,0.8020657471013902,-0.006386708750054114,-1.3027665329386002,0.20348899157942135,898336,0
0.29700000000000004,-0.0027531475790436182,0.0328717722682258,0.0026398441541674936,-0.21676462669296337,-0.018513810204353134,-0.00019228823706778585,0.7996473781850224,0.004554259533136853,-1.2996395502272489,-0.03327443835687993,-0.002578825408714394,0.00022450670776606382,-0.01061841627340182,0.09895969551275421,-0.0038404990348079805,-0.40229197313763715,-0.05461301759521115,-0.02727537109892036,-0.0024122830128812216,0.029668681163656133,0.0019745050333710634,-0.20349132668984812,-0.016686890476254712,0.0011513461974743213,-0.0022049385764118757,0.01995460848532368,-0.001856616079889586,-0.00015815981242088794,0.7995598,0.026535308,-1.3,0.0,0.8023129195936616,-0.006336464279701366,-1.3026397964704517,0.21676462669296337,876937,0
0.33,-0.003110881134684505,0.036214777098385255,0.002555780470550579,-0.2276894834329483,-0.020120057808843864,-0.001087976946687726,0.7995561491018457,0.005641305260860092,-1.299588806459283,-0.0404277070987258,-0.0031896540595388514,0.00023849021278613716,-0.010840410776996576,0.10130317667149843,-0.0025473843520277084,-0.3310562648480279,-0.048674169833052464,-0.02714208210969516,-0.0027645176720214252,0.032940779627976945,0.0015376899383572785,-0.21676571944987486,-0.01850995911589265,0.00042374257636585826,-0.0022049385764118757,0.01995460848532368,-0.001856616079889586,-0.00015815981242088794,0.79944295,0.029850764,-1.3,0.0,0.8025538280455426,-0.006364012898293893,-1.3025557327868347,0.2276894834329483,876937,0
