time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,solve_time,metadata
0.01,3.6281979525957314e-05,0.0004772054139974106,-0.00010634530211524295,-0.0037084502000711166,0.00028195387203369546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003628197952595731,0.04772054139974106,-0.010634530211524294,-0.37084502000711167,0.028195387203369546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007983161419552107,0.010500000000000002,-0.0019078347199474586,0.0,0.0,0.0,0.0,0.0,-3.6281979525957314e-05,-0.0004772054139974106,0.00010634530211524295,0.0037084502000711166,49853538,2500.0
0.02,7.255179778925034e-05,0.000954250874749153,-0.0002123842378617115,-0.007411854574023303,0.0005635241093587965,0.0,3.6281979525957315e-07,4.772054139974106e-06,-1.0634530211524295e-06,-3.708450200071117e-05,2.8195387203369545e-06,0.0,0.003626981826329303,0.04770454607517424,-0.010603893574646856,-0.3703404373952186,0.0281570237325101,0.0,3.6281979525957314e-05,0.0004772054139974106,-0.00010634530211524295,-0.0037084502000711166,0.00028195387203369546,0.0,0.0007983161419552107,0.010500000000000002,-0.0019078347199474586,0.0,9.252752223298799e-07,0.001178096760623159,-0.000125,0.0,-7.162652256692046e-05,0.00022384588587400606,8.73842378617115e-05,0.007411854574023303,49853538,0.01
0.03,0.00013945242408205735,0.0017653282425534626,-0.0003635301515920467,-0.013702290780140753,0.001082463557581646,1.8984465864604112e-05,1.0883317838955984e-06,1.4314484119266999e-05,-3.187651323111371e-06,-0.00011120304774153342,8.454779810049959e-06,-2.0898010956258302e-10,0.0066900626292807006,0.08110773678043097,-0.015114591373033516,-0.6290436206117451,0.05189394482228496,0.001898446586460411,7.255119886360252e-05,0.0009542429979292892,-0.00021241983019589414,-0.007411854574082225,0.0005635241089713003,-2.0898010956258302e-08,0.0014723088525644312,0.01785,-0.002723317183204397,1.1050857579786052e-05,3.701098606367914e-06,0.0023561906144096726,-0.00025,0.0,-0.00013575132547568943,0.00059086237185621,0.00011353015159204667,0.013702290780140753,66646440,"[[20]
 [30]
 [30]
 [30]]"
0.04,0.00020635457196768796,0.0025764415793039716,-0.0005140604522394434,-0.019976482478879655,0.001600112602450297,3.7940818673761926e-05,2.4828252760841917e-06,3.1967362178751725e-05,-6.824927705624264e-06,-0.00024822595394802347,1.9279436430241653e-05,1.8843194490515887e-07,0.00669021478856306,0.08111133367505088,-0.015053030064739672,-0.6274191698738901,0.05176490448686508,0.0018956352809157814,0.00013944934921885933,0.0017652878059484722,-0.00036372763825128927,-0.013702290620649005,0.0010824656620191696,1.8864092501472144e-05,0.0014723088525644312,0.01785,-0.002723317183204397,1.1050857579786052e-05,8.327463303037241e-06,0.003534278654530067,-0.000375,0.0,-0.00019802710866465072,0.0009578370752260953,0.00013906045223944336,0.019976482478879655,66646440,0
0.05,0.0002990638201698522,0.003621677812056639,-0.0006754028406324577,-0.028045071184660465,0.002316307501503202,8.334806034813249e-05,4.546266909524459e-06,5.773050153541016e-05,-1.197196724931106e-05,-0.0004479907714986201,3.528065614073906e-05,5.638682252928354e-07,0.009270924820216426,0.10452362327526676,-0.016134238839301436,-0.8068588705780809,0.07161948990529046,0.004540724167437055,0.0002063441633440268,0.0025763139356658436,-0.0005147039543686795,-0.019976481755059665,0.001600121971049741,3.7543628038767655e-05,0.0020396376892226394,0.022995,-0.0029305488985566547,2.6464260364347875e-05,1.4804357897135745e-05,0.0047123579741692135,-0.0005,0.0,-0.00028425946227271645,0.0010906801621125744,0.0001754028406324577,0.028045071184660465,67740992,0
0.06,0.00039181176820668424,0.004667396728177016,-0.0008356952658028277,-0.03608196835047704,0.0030298689265719414,0.00012868806092591602,7.536645830628253e-06,9.394425196559037e-05,-1.8742325267176496e-05,-0.000728441454305587,5.8444102223012076e-05,1.386971902149264e-06,0.009274794803683203,0.10457189161203764,-0.016029242517037,-0.8036897165816577,0.07135614250687396,0.004534000057778352,0.00029903789211037943,0.0036213750430180215,-0.0006770358017865436,-0.028045068280696688,0.002316344608227301,8.231036768564287e-05,0.0020396376892226394,0.022995,-0.0029305488985566547,2.6464260364347875e-05,2.313176640778014e-05,0.005890425666533501,-0.0006250000000000001,0.0,-0.0003686800017989041,0.0012230289383564847,0.00021069526580282756,0.03608196835047704,67740992,0
0.07,0.0005062326770140562,0.005877608864993613,-0.0009877634967651822,-0.045350852026276645,0.003907945338302601,0.00020156870988243444,1.1454208377457824e-05,0.00014061212474751324,-2.71335039341305e-05,-0.0010892610638897045,8.87437208671809e-05,2.6517813528214067e-06,0.011442090880737195,0.12102121368165966,-0.015206823096235451,-0.9268883675799598,0.08780764117306589,0.007288064895651842,0.00039175625468295706,0.0046667872781922855,-0.0008391178666954004,-0.03608196095841176,0.003029961864416882,0.00012648094506721423,0.002514988696040339,0.026596500000000002,-0.0028054908980759677,4.253475486610751e-05,3.3309668287628824e-05,0.007068478824858004,-0.00075,0.0,-0.00047292300872642733,0.0011908699598643917,0.00023776349676518215,0.045350852026276645,67485184,0
0.08,0.0006207494374816876,0.007088912839753735,-0.0011382141876218354,-0.05456971622184299,0.0047816861275340045,0.00027434143387863587,1.651549703578111e-05,0.0001993774326294335,-3.7075604744686524e-05,-0.001542769409050621,0.00012782534667556497,4.62489954506898e-06,0.011451676046763143,0.12113039747601222,-0.015045069085665323,-0.9218864195566345,0.08737407892314035,0.007277272399620143,0.0005061288658323286,0.005876530788192026,-0.000994210081055602,-0.045350834516091655,0.0039081625808384075,0.00019731181922475732,0.002514988696040339,0.026596500000000002,-0.0028054908980759677,4.253475486610751e-05,4.533803842399209e-05,0.008246514542413668,-0.0008750000000000001,0.0,-0.0005754113990576955,0.0011576017026599331,0.0002632141876218353,0.05456971622184299,67485184,0
0.09,0.0007533957262831207,0.008416259926700599,-0.0012701005542059306,-0.06461942246270895,0.005790036833734609,0.0003723306291276331,2.2721194682141046e-05,0.0002702489453522089,-4.8567891991954994e-05,-0.0020884662300212995,0.00017564638349960445,7.294540279265969e-06,0.013264628880143313,0.1327347086946864,-0.013188636658409528,-1.0049706240865959,0.10083507062006052,0.009798919524899726,0.0006205697646359935,0.00708715127227754,-0.0011492287247268469,-0.05456968209706785,0.004782103682403947,0.00026696407341969883,0.0029109548151107292,0.029117550000000002,-0.0025062672889992273,5.7275992870444684e-05,5.921684713794395e-05,0.009424529912514456,-0.001,0.0,-0.0006941788791451767,0.0010082699858138568,0.0002701005542059306,0.06461942246270895,67318792,0
0.1,0.0008862109572950671,0.009745404655049762,-0.0013996990487658185,-0.07459888925937633,0.0067920594481547785,0.00047017471754566553,3.025227634162804e-05,0.00035438489040978536,-6.144596356742143e-05,-0.00273465982190419,0.00023355440155903369,1.0896915630085145e-05,0.013281523101194645,0.13291447283491625,-0.012959849455988786,-0.9979466796667379,0.10020226144201697,0.009784408841803241,0.0007531081659486995,0.008413594505757648,-0.0012878071575466432,-0.06461935918828904,0.005790801805942924,0.00036023753508191764,0.0029109548151107292,0.029117550000000002,-0.0025062672889992273,5.7275992870444684e-05,7.494606018487726e-05,0.01060252202852455,-0.001125,0.0,-0.0008112648971101899,0.0008571173734747885,0.00027469904876581863,0.07459888925937633,67318792,0
0.11,0.00103412225353947,0.011156949854273995,-0.001505361135127031,-0.08512107997480814,0.007902381624962495,0.000589221135372782,3.910999285538803e-05,0.000451800392129844,-7.57114744468905e-05,-0.003480647659768568,0.0003014875997363316,1.541290585872815e-05,0.014791129624440272,0.14115451992242334,-0.010566208636121245,-1.0522190715431812,0.11103221768077157,0.011904641782711651,0.0008857716513759982,0.009741550172005863,-0.0014265510879469072,-0.07459878378643775,0.006793319817729788,0.00045159902286430085,0.003238442179351244,0.030882285000000002,-0.002123517036285064,6.970221042368888e-05,9.25256387545037e-05,0.011780487983865506,-0.0012500000000000002,0.0,-0.0009415966147849663,0.000623538129591511,0.00025536113512703083,0.08512107997480814,66919620,0
0.12,0.0011822874692816838,0.012571048484438054,-0.0016080003402170653,-0.09555164201279366,0.009004154206283609,0.0007080912638816251,4.9444840600115004e-05,0.00056331697793811,-9.115644499011448e-05,-0.004331856766023922,0.00038053144597355185,2.103002827025612e-05,0.014816521574221378,0.14140986301640587,-0.010263920509003424,-1.0430562037985527,0.11017725813211132,0.011887012850884306,0.0010334847744726974,0.0111516585808266,-0.0015444970543223976,-0.08512091062553538,0.007904384623722024,0.000561712241152797,0.003238442179351244,0.030882285000000002,-0.002123517036285064,6.970221042368888e-05,0.00011195553947118686,0.012958424872023427,-0.0013750000000000001,0.0,-0.001070331929810497,0.00038737638758537356,0.00023300034021706516,0.09555164201279366,66919620,0
0.13,0.0013429555592001533,0.014044251935302322,-0.001684162129371326,-0.10631609854704635,0.010191057720103425,0.0008434565218856746,6.125874611807343e-05,0.0006889568757276409,-0.00010778535340510284,-0.0052873706400918,0.000470602816627097,2.7720829113663253e-05,0.01606680899184695,0.1473203450864268,-0.007616178915426064,-1.0764456534252695,0.11869035138198161,0.013536525800404948,0.0011813905517958417,0.012563989778953094,-0.001662890841498837,-0.09555138740678784,0.009007137065354514,0.0006690800843407132,0.0035069109732830564,0.0321175995,-0.0017088792167581925,7.940649135362316e-05,0.00013323571439327608,0.014136329786556132,-0.0015,0.0,-0.0012097198448068772,9.207785125380993e-05,0.00018416212937132602,0.10631609854704635,67277346,0
0.14,0.0015039706527697429,0.015520782129217743,-0.001756535815207176,-0.11696690365348056,0.011367015822689721,0.0009786213248950504,7.467613449961815e-05,0.0008293087564754626,-0.00012537562551760402,-0.006350527909865291,0.0005725565657754197,3.5616440824380314e-05,0.016101509356958962,0.14765301939154202,-0.007237368583584988,-1.0650805106434207,0.11759581025862971,0.013516480300937592,0.0013417388381544717,0.014035188074782172,-0.0017590272112501188,-0.10631572697734906,0.010195374914832266,0.000789561171071706,0.0035069109732830564,0.0321175995,-0.0017088792167581925,7.940649135362316e-05,0.0001563661110142167,0.015314199821100341,-0.0016250000000000001,0.0,-0.0013476045417555261,-0.00020658230811740168,0.00013153581520717575,0.11696690365348056,67277346,0
0.15,0.0016752746064684731,0.017040346570856454,-0.0018014925450873258,-0.127798475661776,0.012607683109914707,0.0011254473500761954,8.969969339160232e-05,0.0009844024347108137,-0.00014393488248987447,-0.007520191756657925,0.0006862865790991213,4.468059756430086e-05,0.01713039536987303,0.15195644416387122,-0.004495672988014995,-1.0831572008295436,0.12406672872249859,0.014682602518114504,0.0015023558891984175,0.01550936782353511,-0.0018559256972270446,-0.11696638467926344,0.011373001332370167,0.000906415673992055,0.0037245574070763347,0.03298231965,-0.0012913598737188774,8.631100084000406e-05,0.00018134667226199497,0.016492032069378833,-0.0017500000000000003,0.0,-0.0014939279342064782,-0.000548314501477621,5.1492545087325524e-05,0.127798475661776,67407582,0
0.16,0.0018470233831680788,0.018564006120572803,-0.0018418936797374528,-0.13849414416416544,0.01383488383593611,0.0012720559486404256,0.00010643158553802993,0.0011546663553482356,-0.0001632422458409974,-0.008798169440376093,0.000812444480186758,5.4986642245467995e-05,0.017174877669960557,0.15236595497163472,-0.004040113465012699,-1.0695668502389457,0.12272007260214023,0.014660859856423016,0.00167318921464276,0.017026392063742186,-0.001930736335112294,-0.1277977683718167,0.012615790108763663,0.0010306044681167128,0.0037245574070763347,0.03298231965,-0.0012913598737188774,8.631100084000406e-05,0.00020817733649958203,0.017669823625207613,-0.001875,0.0,-0.0016388460466684968,-0.0008941824953651901,-3.3106320262547145e-05,0.13849414416416544,67407582,0
0.17,0.00202717266577889,0.020119669430047882,-0.0018548348777750435,-0.1492566717666296,0.015108774204684315,0.0014256772270682687,0.00012487532410301218,0.0013401381952107658,-0.00018330874082053038,-0.01018310153657543,0.0009508998801359184,6.648951237805168e-05,0.01801492826108113,0.155566330947508,-0.001294119803759078,-1.0762527602464154,0.1273890368748206,0.015362127842784304,0.0018443738564982253,0.018547183986253022,-0.0020066494979532968,-0.1384932096199337,0.013845539994916044,0.0011502870132583686,0.0038984709095163206,0.033587623755000004,-0.0008868642823272636,9.051945840057547e-05,0.00023685803752504508,0.01884757158250311,-0.002,0.0,-0.001790314628253845,-0.0012720978475447738,-0.00014516512222495655,0.1492566717666296,67158789,0
